card_serial|entrances
040130F2185081|{'2020-10-31 11:26:51': 'Arena', '2020-10-31 12:22:25': 'Santa Anastasia', '2020-10-31 12:49:28': 'Duomo', '2020-10-31 15:28:44': 'Torre Lamberti', '2020-10-31 15:55:44': 'Casa Giulietta'}
040130F2185085|{'2020-02-22 10:14:15': 'Arena'}
040131E2185081|{'2020-01-20 10:27:48': 'Torre Lamberti', '2020-01-20 14:52:47': 'Castelvecchio', '2020-01-21 10:04:31': 'Teatro Romano', '2020-01-21 13:48:23': 'Museo Storia', '2020-01-21 15:35:15': 'Arena'}
040133F2185085|{'2020-01-28 10:47:54': 'Arena', '2020-01-28 12:40:49': 'Casa Giulietta', '2020-01-28 13:28:51': 'Santa Anastasia', '2020-01-28 13:52:23': 'Duomo'}
040134F2185081|{'2020-01-01 15:31:46': 'Arena'}
040134F2185085|{'2020-01-22 11:19:58': 'Arena', '2020-01-22 13:15:20': 'Casa Giulietta', '2020-01-22 14:06:30': 'Torre Lamberti', '2020-01-22 17:51:42': 'Castelvecchio'}
040138F2185085|{'2020-10-31 12:50:16': 'Santa Anastasia', '2020-10-31 13:15:16': 'Duomo', '2020-10-31 16:04:38': 'Castelvecchio', '2020-10-31 17:11:22': 'Casa Giulietta', '2020-10-31 17:53:11': 'Torre Lamberti'}
040139121B6785|{'2020-02-07 14:40:00': 'Arena', '2020-02-07 15:22:51': 'Castelvecchio', '2020-02-08 10:43:53': 'Teatro Romano', '2020-02-09 14:39:08': 'Santa Anastasia'}
04013AE2185085|{'2020-01-01 15:40:46': 'Castelvecchio', '2020-01-02 09:12:32': 'Arena', '2020-01-02 10:27:34': 'San Fermo', '2020-01-02 12:01:24': 'Santa Anastasia', '2020-01-02 14:26:36': 'Casa Giulietta', '2020-01-02 14:56:12': 'Palazzo della Ragione', '2020-01-02 15:43:46': 'Torre Lamberti', '2020-01-02 16:28:40': 'Duomo', '2020-01-02 17:59:57': 'Teatro Romano'}
04013BE2185081|{'2020-01-02 14:17:28': 'Torre Lamberti', '2020-01-02 14:56:52': 'Palazzo della Ragione', '2020-01-02 16:22:43': 'Arena', '2020-01-03 09:39:08': 'Casa Giulietta', '2020-01-03 11:17:59': 'Duomo', '2020-01-04 11:47:52': 'Teatro Romano'}
040141F2185085|{'2020-02-23 13:38:29': 'Arena', '2020-02-23 14:12:01': 'Casa Giulietta', '2020-02-23 15:10:46': 'Teatro Romano'}
040143E2185081|{'2020-01-01 16:20:10': 'San Zeno', '2020-01-02 12:28:32': 'Santa Anastasia', '2020-01-02 12:56:22': 'Duomo'}
040145F2185085|{'2020-02-07 15:14:11': 'Casa Giulietta', '2020-02-07 15:54:32': 'San Fermo', '2020-02-07 16:46:42': 'Arena', '2020-02-08 10:10:53': 'Duomo', '2020-02-08 11:53:42': 'Castelvecchio'}
040146F2185085|{'2020-01-23 10:59:50': 'Arena', '2020-01-23 12:39:36': 'Castelvecchio', '2020-01-23 15:07:30': 'Torre Lamberti', '2020-01-23 16:04:28': 'Duomo', '2020-01-23 16:38:39': 'Teatro Romano'}
040149E2185081|{'2020-01-02 10:54:09': 'Tomba Giulietta', '2020-01-02 11:38:01': 'Arena', '2020-01-02 12:25:58': 'Casa Giulietta', '2020-01-02 14:19:04': 'Torre Lamberti', '2020-01-02 15:07:55': 'Duomo', '2020-01-03 11:50:22': 'San Zeno', '2020-01-03 12:34:17': 'Castelvecchio', '2020-01-03 17:14:23': 'Teatro Romano'}
04014BE2185081|{'2020-01-03 10:51:11': 'San Zeno', '2020-01-03 11:42:27': 'Castelvecchio', '2020-01-03 12:53:06': 'Arena', '2020-01-04 10:09:32': 'Museo Lapidario', '2020-01-04 11:25:09': 'Teatro Romano', '2020-01-04 12:00:51': 'Duomo', '2020-01-04 12:29:29': 'Santa Anastasia', '2020-01-04 15:20:39': 'Torre Lamberti', '2020-01-04 15:52:08': 'Casa Giulietta'}
04014DF2185081|{'2020-10-31 13:06:33': 'Arena', '2020-10-31 14:17:05': 'Casa Giulietta', '2020-10-31 14:55:32': 'Duomo', '2020-10-31 16:36:26': 'Torre Lamberti'}
04014FE2185081|{'2020-01-01 16:20:14': 'San Zeno', '2020-01-02 12:28:29': 'Santa Anastasia', '2020-01-02 12:56:20': 'Duomo'}
040151F2185081|{'2020-02-08 11:34:45': 'Arena', '2020-02-08 14:48:48': 'Santa Anastasia'}
04015BE2185081|{'2020-01-03 17:22:32': 'Castelvecchio', '2020-01-04 12:29:54': 'Arena', '2020-01-04 14:18:48': 'Santa Anastasia', '2020-01-04 14:58:45': 'Duomo'}
040161E2185081|{'2020-01-29 11:20:23': 'Arena', '2020-01-29 11:21:32': 'Arena', '2020-01-29 12:12:53': 'Museo Lapidario', '2020-01-29 14:34:40': 'Castelvecchio', '2020-01-29 16:28:34': 'San Zeno', '2020-01-29 18:03:13': 'Teatro Romano', '2020-01-30 14:02:09': 'Duomo', '2020-01-30 15:17:06': 'Santa Anastasia', '2020-01-30 16:08:31': 'Palazzo della Ragione'}
04016BE2185081|{'2020-01-02 16:23:54': 'Santa Anastasia', '2020-01-03 09:51:48': 'Castelvecchio', '2020-01-03 11:58:36': 'Museo Lapidario', '2020-01-03 13:08:16': 'Arena', '2020-01-03 15:21:19': 'Torre Lamberti', '2020-01-03 16:22:43': 'Duomo', '2020-01-03 17:23:50': 'Teatro Romano', '2020-01-04 09:44:05': 'Casa Giulietta', '2020-01-04 10:34:37': 'San Fermo', '2020-01-04 11:52:55': 'Palazzo della Ragione', '2020-01-04 15:51:49': 'Tomba Giulietta'}
04017DE2185081|{'2020-01-02 10:04:19': 'Arena', '2020-01-02 11:15:24': 'Casa Giulietta', '2020-01-02 12:05:25': 'Torre Lamberti', '2020-01-02 12:42:27': 'Santa Anastasia', '2020-01-02 13:14:37': 'Duomo', '2020-01-02 14:34:33': 'Teatro Romano', '2020-01-02 16:44:26': 'Castelvecchio', '2020-01-03 10:04:58': 'San Zeno'}
04017FE2185081|{'2020-01-16 15:46:20': 'Arena', '2020-01-16 16:39:45': 'Casa Giulietta', '2020-01-17 11:55:41': 'Teatro Romano', '2020-01-17 13:43:12': 'Duomo', '2020-01-17 16:51:45': 'Torre Lamberti', '2020-01-17 17:14:54': 'Palazzo della Ragione', '2020-01-18 12:16:59': 'Museo Lapidario', '2020-01-18 13:57:16': 'Tomba Giulietta', '2020-01-18 15:06:22': 'Castelvecchio'}
040183E2185081|{'2020-01-16 15:13:04': 'Arena', '2020-01-16 16:05:03': 'Casa Giulietta', '2020-01-16 16:34:34': 'Torre Lamberti', '2020-01-17 10:42:19': 'Castelvecchio', '2020-01-17 12:42:46': 'San Zeno', '2020-01-17 15:05:39': 'Santa Anastasia', '2020-01-17 15:31:59': 'Duomo', '2020-01-17 17:06:14': 'Teatro Romano', '2020-01-18 11:23:57': 'San Fermo', '2020-01-18 12:31:50': 'Palazzo della Ragione'}
040189F2185081|{'2020-01-25 13:00:09': 'Arena', '2020-01-25 16:15:51': 'Casa Giulietta'}
04018CF2185081|{'2020-01-30 11:26:43': 'Arena', '2020-01-30 12:31:10': 'Casa Giulietta', '2020-01-30 13:31:52': 'Santa Anastasia', '2020-01-30 15:20:02': 'Duomo', '2020-01-30 16:31:23': 'Castelvecchio'}
040191E2185081|{'2020-01-29 14:08:27': 'Arena', '2020-01-29 16:06:23': 'Casa Giulietta', '2020-01-30 11:04:51': 'Castelvecchio'}
040197E2185081|{'2020-01-02 11:08:05': 'San Zeno', '2020-01-02 12:40:49': 'Castelvecchio', '2020-01-03 08:32:05': 'Casa Giulietta', '2020-01-03 09:26:48': 'Arena'}
04019FF2185081|{'2020-07-04 11:43:00': 'Torre Lamberti', '2020-07-04 14:18:53': 'Arena', '2020-07-04 15:11:27': 'Castelvecchio'}
0401A8F2185081|{'2020-07-03 12:55:24': 'Arena', '2020-07-03 14:11:02': 'Torre Lamberti'}
0401ACF2185081|{'2020-01-30 14:20:44': 'Arena', '2020-01-30 15:03:06': 'Casa Giulietta', '2020-01-30 16:12:32': 'Santa Anastasia', '2020-01-30 16:31:09': 'Duomo'}
0401B44A216281|{'2020-02-22 12:16:28': 'Castelvecchio', '2020-02-22 16:07:50': 'Arena', '2020-02-22 17:37:42': 'Casa Giulietta', '2020-02-23 12:06:43': 'Teatro Romano', '2020-02-23 15:19:42': 'Duomo', '2020-02-23 16:53:59': 'Santa Anastasia', '2020-02-24 11:26:41': 'Giardino Giusti'}
0401B6F2185081|{'2020-02-06 10:03:53': 'Santa Anastasia', '2020-02-06 10:45:04': 'Duomo', '2020-02-06 11:25:49': 'Teatro Romano', '2020-02-06 14:04:15': 'Arena', '2020-02-06 14:49:19': 'Castelvecchio', '2020-02-06 16:19:53': 'Tomba Giulietta', '2020-02-07 10:57:33': 'San Zeno'}
0401B8E2185081|{'2020-01-28 16:39:51': 'Arena', '2020-01-29 18:38:06': 'Casa Giulietta', '2020-01-30 11:31:33': 'Palazzo della Ragione', '2020-01-30 13:52:31': 'Teatro Romano'}
0401C1F2185081|{'2020-02-23 16:17:17': 'Arena', '2020-02-23 17:26:03': 'Casa Giulietta'}
0401C2E2185081|{'2020-01-02 16:23:56': 'Santa Anastasia', '2020-01-03 09:51:51': 'Castelvecchio', '2020-01-03 11:58:34': 'Museo Lapidario', '2020-01-03 13:08:13': 'Arena', '2020-01-03 15:21:21': 'Torre Lamberti', '2020-01-03 16:22:42': 'Duomo', '2020-01-03 17:23:47': 'Teatro Romano', '2020-01-04 09:44:04': 'Casa Giulietta', '2020-01-04 10:34:40': 'San Fermo', '2020-01-04 11:52:53': 'Palazzo della Ragione', '2020-01-04 15:51:48': 'Tomba Giulietta'}
0401C4E2185081|{'2020-01-29 11:21:30': 'Arena', '2020-01-29 12:12:57': 'Museo Lapidario', '2020-01-29 14:34:42': 'Castelvecchio', '2020-01-29 16:28:29': 'San Zeno', '2020-01-29 18:03:21': 'Teatro Romano', '2020-01-30 14:02:13': 'Duomo', '2020-01-30 15:17:02': 'Santa Anastasia', '2020-01-30 16:08:35': 'Palazzo della Ragione'}
0401C6E2185081|{'2020-01-04 16:10:16': 'San Zeno', '2020-01-04 17:12:02': 'Castelvecchio', '2020-01-05 10:42:18': 'Arena', '2020-01-05 11:18:46': 'Tomba Giulietta', '2020-01-06 11:07:08': 'Giardino Giusti'}
0401E0F2185081|{'2020-01-23 14:20:38': 'Arena', '2020-01-23 15:25:44': 'Casa Giulietta', '2020-01-23 15:50:14': 'Torre Lamberti'}
0401E2F2185081|{'2020-02-23 13:38:31': 'Arena', '2020-02-23 14:12:04': 'Casa Giulietta', '2020-02-23 15:10:45': 'Teatro Romano'}
0401E3F2185081|{'2020-07-04 11:43:01': 'Torre Lamberti', '2020-07-04 14:18:56': 'Arena', '2020-07-04 15:11:29': 'Castelvecchio'}
0401EBE2185081|{'2020-01-17 11:05:48': 'Arena', '2020-01-17 12:03:59': 'Tomba Giulietta', '2020-01-17 14:11:15': 'Casa Giulietta', '2020-01-17 18:14:50': 'Teatro Romano', '2020-01-18 10:27:40': 'Museo Lapidario', '2020-01-18 11:56:56': 'Castelvecchio'}
0401EFE2185081|{'2020-01-03 12:12:48': 'Torre Lamberti'}
0401F9F2185081|{'2020-01-28 10:47:43': 'Arena', '2020-01-28 12:45:59': 'Casa Giulietta', '2020-01-28 13:28:46': 'Santa Anastasia', '2020-01-28 13:52:32': 'Duomo'}
